name,gp,sog,g,a1,a2,pim,pend,bks,hattys
Lauren Kelly,8,,0,0,2,,,,
Kali Flanagan,2,,0,2,0,,,,
Amanda Boulier,8,,1,4,1,,,,
Tori Sullivan,8,,0,1,2,,,,
Evelina Raselli,8,,1,0,0,,,,
Jenna Rheault,6,,1,0,2,,,,
Kaleigh Fratkin,8,,0,1,2,,,,
Jillian Dempsey,8,,4,3,0,,,,
McKenna Brand,8,,2,3,2,,,,
Taylor Wenczkowski,8,,3,0,0,,,,
Sammy Davis,8,,2,2,1,,,,
Paige Capistran,8,,0,0,1,,,,
Christina Putigna,8,,4,1,0,,,,
Katelynn Russ,8,,0,1,1,,,,
Kayla Friesen,7,,2,2,0,,,,
Meghara McManus,8,,3,1,1,,,,
Mallory Souliotis,8,,0,0,2,,,,
Abby Cook,6,,0,0,1,,,,
Samantha Fieseler,3,,0,0,0,,,,
Amy Budde,2,,0,0,0,,,,
Marie-Jo Pelletier,3,,0,0,1,,,,
Autumn MacDougall,3,,1,0,1,,,,
Dominique Kremer,3,,2,1,0,,,,
Allison Attea,3,,0,0,0,,,,
Missy Segall,2,,1,0,0,,,,
Brittany Colton,,,0,0,0,,,,
Cassidy MacPherson,3,,0,2,2,,,,
Elena Orlando,3,,0,0,0,,,,
Taylor Wasylk,,,0,0,0,,,,
Emma Keenan,3,,0,1,1,,,,
Emilie Harley,3,,2,0,0,,,,
Anjelica Diffendal,3,,2,0,1,,,,
Jenna Suokko,3,,0,1,1,,,,
Kennedy Ganser,2,,0,1,0,,,,
Erin Gehen,3,,0,0,0,,,,
Grace Klienbach,3,,0,1,0,,,,
Taylor Accursi,3,,1,1,1,,,,
Cassidy Vinkle,3,,1,2,1,,,,
Tori Howran,8,,0,1,3,,,,
Shannon Turner,8,,0,1,1,,,,
Emma Polaski,8,,0,0,0,,,,
Alyssa Wohlfeiler,8,,5,1,1,,,,
Kaycie Anderson,6,,0,0,0,,,,
Emily Fluke,7,,2,3,1,,,,
Allie Munroe,8,,1,0,3,,,,
Cailey Hutchison,7,,0,2,2,,,,
Emma Vlasic,8,,2,3,0,,,,
Hanna Beattie,6,,0,0,0,,,,
Taylor Girard,8,,5,1,2,,,,1
Hannah Bates,6,,0,1,1,,,,
Kati Tabin,4,,0,0,0,,,,
Kennedy Marchment,8,,4,6,1,,,,
Janine Weber,4,,0,1,1,,,,
Janka Hlinka,4,,0,1,0,,,,
Taylor Marchin,6,,1,0,0,,,,
Rebecca Morse,7,,0,0,0,,,,
Amanda Conway,6,,3,1,1,,,,
Catherine Crawley,8,,2,1,1,,,,
Theresa Knutson,,,1,0,2,,,,
Emily Janiga,,,2,1,0,,,,
Leila Kilduff,,,0,0,0,,,,
Nora MacLaine,,,2,1,0,,,,
Rachael Ade,,,0,0,1,,,,
Kelly Babstock,,,1,0,2,,,,
Colleen Murphy,,,0,3,1,,,,
Kendall Cornine,,,2,1,1,,,,
Madison Packer,,,4,3,1,,,,
Brooke Avery,,,0,2,0,,,,
Rebecca Russo,,,4,4,1,,,,
Romana Košecká,,,0,0,0,,,,
Mallory Rushton,,,0,0,0,,,,
Haley Frade,,,1,0,0,,,,
Allie Olnowich,,,0,0,0,,,,
Kristen Barbara,,,0,0,2,,,,
Rose Alleva,,,0,2,1,,,,
Lenka Čurmová,,,0,0,0,,,,
Mak Langei,6,,0,2,0,,,,
Jonna Curtis,6,,4,0,0,,,,
Chelsey Brodt-Rosenthal,6,,0,0,0,,,,
Winny Brodt-Brown,6,,0,0,0,,,,
Emma Stauber,4,,0,0,0,,,,
Taylor Turnquist,5,,0,0,2,,,,
Allie Thunstrom,6,,3,1,0,,,,
Brooke White-Lancette,3,,0,0,0,,,,
Lisa Martinson,3,,0,0,0,,,,
Ashleigh Brykaliuk,6,,0,1,0,,,,
Alex Woken,6,,1,0,0,,,,
Meaghan Pezon,5,,0,0,0,,,,
Lexie Laing,6,,1,0,0,,,,
Stephanie Anderson,6,,0,1,0,,,,
Haley Mack,6,,1,1,0,,,,
Meghan Lorence,5,,0,0,0,,,,
Audra Morrison,6,,0,0,0,,,,
Nicole Schammel,6,,0,0,0,,,,
Patti Marshall,6,,0,0,1,,,,
Maddie Rowe,6,,0,0,0,,,,
Sara Bustad,5,,0,0,0,,,,
Haylea Schmid,4,,0,0,0,,,,
Taylor Woods,5,,0,1,1,,,,
Sarah Steele,5,,0,0,0,,,,
Maegan Beres,5,,1,0,1,,,,
Leah Marino,5,,1,1,0,,,,
Mikyla Grant-Mentis,5,,2,4,2,,,,
Annie MacDonald,0,,0,0,0,,,,
Brooke Boquist,5,,1,2,0,,,,
Taylor Davison,5,,1,0,1,,,,
Amy Curlew,5,,0,0,0,,,,
Stephanie Sucharda,5,,0,0,0,,,,
Christine Chao,4,,0,0,0,,,,
Shiann Darkangelo,5,,2,1,2,,,,
Taylor Day,5,,1,2,0,,,,
Lindsay Eastwood,5,,2,1,1,,,,
Emma Woods,5,,1,0,1,,,,
Saroya Tinker,5,,0,1,1,,,,
Michela Cava,5,,3,2,1,,,,
Tori Charron,5,,0,0,0,,,,
Emma Greco,,,0,0,0,,,,
